time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1544,5.227397,70.66916,60.37487444,80.96344555,54.92540885,86.41291115
1545,5.230137,74.84432451,64.54865679,85.13999223,59.09845952,90.5901895
1546,5.232877,58.23597388,47.93892418,68.53302357,42.48799533,73.98395242
1547,5.235616,62.62446635,52.32603486,72.92289784,46.87437453,78.37455816
1548,5.238356,63.02429892,52.72448582,73.32411202,47.27209412,78.77650372
1549,5.241096,62.38660674,52.08541222,72.68780126,46.63228924,78.14092424
1550,5.243836,71.92482742,61.62225166,82.22740318,56.1683975,87.68125735
1551,5.246575,72.39152101,62.0875642,82.69547782,56.63297895,88.15006307
1552,5.249315,52.42468955,42.11935187,62.73002723,36.66403564,68.18534346
1553,5.252055,57.14542795,46.83870959,67.45214631,41.38266246,72.90819343
1554,5.254795,58.82841961,48.52032076,69.13651847,43.06354284,74.59329639
1555,5.257534,63.14254818,52.83306901,73.45202735,47.3755604,78.90953596
1556,5.260274,57.39569495,47.08483565,67.70655424,41.62659644,73.16479345
1557,5.263014,57.54936046,47.23712122,67.8615997,41.77815152,73.32056941
1558,5.265753,56.11418329,45.8005643,66.42780229,40.34086419,71.8875024
1559,5.268493,69.32289579,59.00789721,79.63789436,53.54746681,85.09832476
1560,5.271233,56.0605411,45.74416314,66.37691906,40.28300253,71.83807967
1561,5.273973,60.00057254,49.68281537,70.3183297,44.22092466,75.78022042
1562,5.276712,63.52204943,53.20291325,73.84118562,47.74029252,79.30380635
1563,5.279452,61.1234968,50.80298178,71.44401182,45.33963114,76.90736246
1564,5.282192,55.93265946,45.61076579,66.25455313,40.14668533,71.71863359
1565,5.284932,59.8738691,49.55059696,70.19714124,44.08578679,75.66195141
1566,5.287671,61.43402443,51.109374,71.75867485,45.64383421,77.22421464
1567,5.290411,62.59459111,52.26856259,72.92061964,46.80229328,78.38688895
1568,5.293151,60.94907936,50.62167292,71.27648581,45.15467419,76.74348454
1569,5.29589,71.92825374,61.59946957,82.25703791,56.1317415,87.72476598
1570,5.29863,60.00717316,49.67701144,70.33733488,44.20855415,75.80579217
1571,5.30137,64.26628335,53.93474426,74.59782244,48.46555784,80.06700886
1572,5.30411,56.88834973,46.55543346,67.221266,41.085518,72.69118146
1573,5.306849,59.10790549,48.77361222,69.44219875,43.30296782,74.91284315
1574,5.309589,64.92536651,54.58969643,75.26103659,49.11832319,80.73240983
1575,5.312329,59.10769788,48.77065117,69.44474459,43.29854919,74.91684658
1576,5.315068,59.99531648,49.65689332,70.33373964,44.18406269,75.80657027
1577,5.317808,60.55827387,50.21847444,70.89807329,44.74491526,76.37163247
1578,5.320548,54.10911343,43.76793793,64.45028893,38.29365029,69.92457657
1579,5.323288,57.91638953,47.57383813,68.25894093,42.09882214,73.73395692
1580,5.326027,48.25504988,37.91112276,58.598977,32.43537851,64.07472125
1581,5.328767,53.05996009,42.71465744,63.40526274,37.23818503,68.88173516
1582,5.331507,54.88164257,44.53496457,65.22832057,39.05776409,70.70552105
1583,5.334247,51.87945027,41.53139711,62.22750344,36.05346866,67.70543188
1584,5.336986,43.13255245,32.7831243,53.48198059,27.30446798,58.96063692
1585,5.339726,58.13958353,47.78878058,68.49038648,42.30939649,73.96977058
1586,5.342466,51.45966841,41.10749084,61.81184598,35.62737907,67.29195775
1587,5.345205,51.21973691,40.86618491,61.57328892,35.38534555,67.05412827
1588,5.347945,63.41831895,53.06339269,73.77324521,47.58182585,79.25481205
1589,5.350685,52.15520603,41.7989057,62.51150636,36.31661147,67.99380059
1590,5.353425,61.6641449,51.30647068,72.02181911,45.82344916,77.50484064
1591,5.356164,53.68447076,43.32542284,64.04351869,37.84167412,69.52726741
1592,5.358904,58.70645761,48.34603617,69.06687906,42.86156035,74.55135488
1593,5.361644,46.0751502,35.71335541,56.43694499,30.22815259,61.92214782
1594,5.364384,42.70271588,32.33954793,53.06588383,26.85361819,58.55181356
1595,5.367123,51.63456931,41.27002838,61.99911024,35.78337184,67.48576678
1596,5.369863,52.63355642,42.26764269,62.99947014,36.78025943,68.4868534
1597,5.372603,59.34656937,48.97928303,69.71385571,43.49117316,75.20196559
1598,5.375342,60.1344374,49.76577863,70.50309618,44.27694223,75.99193258
1599,5.378082,56.4140689,46.04403787,66.78409992,40.55447505,72.27366275
1600,5.380822,49.12073756,38.74933447,59.49214066,33.25904532,64.98242981
1601,5.383562,61.79775287,51.42497788,72.17052785,45.9339625,77.66154324
1602,5.386301,53.82560662,43.45145993,64.19975331,37.9597184,69.69149483
1603,5.389041,50.74732253,40.37180432,61.12284075,34.87933675,66.61530831
1604,5.391781,51.32417832,40.94728876,61.70106788,35.45409525,67.1942614
1605,5.394521,54.22472054,43.84645982,64.60298127,38.35254046,70.09690063
1606,5.39726,58.03701391,47.65738221,68.41664562,42.16273709,73.91129073
1607,5.4,55.81105869,45.43005618,66.1920612,39.93468541,71.68743197
1608,5.40274,59.05884319,48.67647007,69.44121632,43.18037373,74.93731266
1609,5.405479,54.69704326,44.31329969,65.08078682,38.81647789,70.57760863
1610,5.408219,58.61162764,48.22651381,68.99674146,42.72896664,74.49428864
1611,5.410959,48.44060053,38.05411663,58.82708443,32.55584418,64.32535688
1612,5.413699,55.14668284,44.75882905,65.53453664,39.25983142,71.03353427
1613,5.416438,48.61835481,38.2291313,59.00757832,32.72940858,64.50730104
1614,5.419178,53.99653354,43.60594049,64.38712658,38.10549278,69.88757429
1615,5.421918,60.64311953,50.25115712,71.03508193,44.74998453,76.53625453
1616,5.424658,55.1804097,44.78707812,65.57374128,39.28518073,71.07563867
1617,5.427397,60.45875134,50.06405077,70.85345192,44.56142868,76.35607401
1618,5.430137,66.16105648,55.76498709,76.55712586,50.26164039,82.06047257
1619,5.432877,54.60361976,44.20618174,65.00105778,38.70211053,70.50512899
1620,5.435616,49.62490612,39.22609965,60.02371259,33.72130402,65.52850822
1621,5.438356,54.7803315,44.38015675,65.18050625,38.87463681,70.6860262
1622,5.441096,60.28448972,49.88294688,70.68603257,44.37670271,76.19227674
1623,5.443836,60.41265977,50.00974902,70.81557053,44.50278071,76.32253883
