"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.912329",50.8512261498806,40.7171467696065,60.9853055301548,35.3524892002156,66.3499630995457
"4.915068",56.6837213917467,46.5482380000627,66.8192047834307,41.182837191927,72.1846055915664
"4.917808",74.0180065128701,63.8811193042391,84.1548937215011,58.5149753603011,89.5210376654392
"4.920548",50.4990023196358,40.3607114884398,60.6372931508318,34.9938245115991,66.0041801276724
"4.923288",57.1020986466568,46.9624043871972,67.2417929061164,41.5947744803108,72.6094228130028
"4.926027",57.4838358192331,47.3427383257306,67.6249333127356,41.9743655916127,72.9933060468536
"4.928767",53.3734714303609,43.2309708969555,63.5159719637663,37.8618554383776,68.8850874223442
"4.931507",62.2066915654101,52.0627881861613,72.3505949446588,46.6929301058524,77.7204530249678
"4.934247",55.3724978565924,45.2271918254793,65.5178038877054,39.8565912261256,70.8884044870592
"4.936986",62.466866029319,52.3201575402402,72.6135745183978,46.9488145244853,77.9849175341526
"4.939726",49.9165268330629,39.7684160798365,60.0646375862893,34.3963307502817,65.436722915844
"4.942466",65.9734530876123,55.8239402639761,76.1229659112484,50.45111272318,81.4957934520445
"4.945205",61.1485756330935,50.9976609327052,71.2994903334818,45.6240912831839,76.6730599830031
"4.947945",70.1230098655582,59.9706934819951,80.2753262491214,54.5963818262223,85.6496379048942
"4.950685",57.677880751553,47.5241628783122,67.8315986247939,42.1491093187191,73.206652184387
"4.953425",54.3005195218905,44.145400352389,64.4556386913919,38.7696049913643,69.8314340524166
"4.956164",61.4460198183516,51.2894995459266,71.6025400907767,45.9129624858168,76.9790771508865
"4.958904",49.9695063772507,39.811585195159,60.1274275593423,34.4343065382683,65.5047062162331
"4.961644",53.1318414210147,42.9725195224335,63.2911633195959,37.5944993710235,68.6691834710059
"4.964384",57.4107098652973,47.2499874433238,67.5714322872709,41.8712258996139,72.9501938309808
"4.967123",60.6220841982675,50.4599614459189,70.7842069506161,45.0804586120864,76.1637097844486
"4.969863",58.681254842116,48.5177319523299,68.8447777319022,43.1374879305098,74.2250217537222
"4.972603",60.4323180362253,50.2673952018595,70.5972408705912,44.8864100941445,75.9782259783061
"4.975342",59.3421565327469,49.1758339465795,69.5084791189143,43.7941078550203,74.8902052104735
"4.978082",67.3297613540853,57.1620392088148,77.4974834993557,51.7795722354198,82.8799504727508
